2.27.18.0/23 AS216127 # was unassigned
2.27.20.0/22 AS215439 # was unassigned
2.27.24.0/23 AS213520 # was unassigned
2.27.26.0/23 AS215730 # was unassigned
2.27.28.0/22 AS213520 # was unassigned
2.27.32.0/21 AS215590 # was unassigned
2.27.40.0/22 AS215439 # was unassigned
2.27.44.0/22 AS213877 # was unassigned
2.27.48.0/22 AS199785 # was unassigned
2.27.52.0/22 AS215590 # was unassigned
2.27.56.0/24 AS203154 # was unassigned
2.27.57.0/24 AS207513 # was unassigned
2.27.58.0/24 AS199742 # was unassigned
2.27.59.0/24 AS210457 # was unassigned
2.27.60.0/24 AS210457 # was unassigned
2.27.61.0/24 AS202413 # was unassigned
2.27.62.0/23 AS210457 # was unassigned
2.27.64.0/21 AS207461 # was unassigned
2.27.72.0/22 AS207461 # was unassigned
2.27.76.0/23 AS207461 # was unassigned
2.27.78.0/24 AS200239 # was unassigned
2.27.79.0/24 AS206411 # was unassigned
2.27.80.0/23 AS207461 # was unassigned
2.27.82.0/24 AS204942 # was unassigned
2.27.83.0/24 AS268624 # was unassigned
2.27.84.0/24 AS26548 # was unassigned
2.27.85.0/24 AS214578 # was unassigned
2.27.86.0/24 AS57043 # was unassigned
2.27.87.0/24 AS207461 # was unassigned
2.27.88.0/24 AS215468 # was unassigned
2.27.89.0/24 AS207461 # was unassigned
2.27.90.0/23 AS207461 # was unassigned
2.27.92.0/24 AS25198 # was unassigned
2.27.93.0/24 AS213821 # was unassigned
2.27.94.0/24 AS200341 # was unassigned
2.27.95.0/24 AS213821 # was unassigned
2.27.96.0/24 AS61317 # was unassigned
2.27.97.0/24 AS214578 # was unassigned
2.27.98.0/24 AS402215 # was unassigned
2.27.99.0/24 AS151407 # was unassigned
2.27.100.0/24 AS216455 # was unassigned
2.27.101.0/24 AS209317 # was unassigned
2.27.102.0/24 AS211826 # was unassigned
2.27.105.0/24 AS209888 # was unassigned
2.27.106.0/24 AS209630 # was unassigned
2.27.107.0/24 AS133150 # was unassigned
2.27.108.0/24 AS214432 # was unassigned
2.27.109.0/24 AS834 # was unassigned
2.27.110.0/24 AS209876 # was unassigned
2.27.111.0/24 AS154408 # was unassigned
2.27.112.0/24 AS210554 # was unassigned
2.27.113.0/24 AS44092 # was unassigned
2.27.114.0/24 AS206766 # was unassigned
2.27.115.0/24 AS213618 # was unassigned
2.27.116.0/24 AS209630 # was unassigned
2.27.117.0/24 AS402214 # was unassigned
2.27.118.0/24 AS137235 # was unassigned
2.27.119.0/24 AS201131 # was unassigned
2.27.120.0/22 AS206134 # was unassigned
2.27.124.0/24 AS400506 # was unassigned
2.27.126.0/24 AS214578 # was unassigned
2.27.127.0/24 AS57043 # was unassigned
2.27.128.0/23 AS51847 # was unassigned
2.27.130.0/23 AS208450 # was unassigned
2.27.132.0/23 AS402279 # was unassigned
2.27.134.0/23 AS137897 # was unassigned
2.27.136.0/23 AS150654 # was unassigned
2.27.138.0/23 AS216096 # was unassigned
2.27.140.0/23 AS20326 # was unassigned
2.27.142.0/23 AS214432 # was unassigned
2.27.146.0/23 AS214432 # was unassigned
2.27.149.0/24 AS12198 # was unassigned
2.27.151.0/24 AS205772 # was unassigned
2.27.152.0/24 AS154317 # was unassigned
2.27.153.0/24 AS201136 # was unassigned
2.27.154.0/24 AS204942 # was unassigned
2.27.155.0/24 AS212173 # was unassigned
2.27.156.0/24 AS32167 # was unassigned
2.27.157.0/24 AS9304 # was unassigned
2.27.158.0/23 AS9304 # was unassigned
2.27.160.0/24 AS207043 # was unassigned
2.27.161.0/24 AS21859 # was unassigned
2.27.162.0/24 AS62240 # was unassigned
2.27.163.0/24 AS402187 # was unassigned
2.27.164.0/24 AS402187 # was unassigned
2.27.165.0/24 AS198250 # was unassigned
2.27.166.0/24 AS200105 # was unassigned
2.27.167.0/24 AS400529 # was unassigned
2.27.168.0/24 AS215287 # was unassigned
2.27.169.0/24 AS152460 # was unassigned
2.27.170.0/24 AS207083 # was unassigned
2.27.171.0/24 AS62240 # was unassigned
2.27.172.0/24 AS16276 # was unassigned
2.27.173.0/24 AS32167 # was unassigned
2.27.174.0/24 AS32167 # was unassigned
2.27.175.0/24 AS402215 # was unassigned
2.27.176.0/20 AS7029 # was unassigned
2.27.192.0/22 AS17404 # was unassigned
2.27.200.0/21 AS215224 # was unassigned
2.27.208.0/22 AS20326 # was unassigned
2.27.212.0/23 AS4766 # was unassigned
2.27.214.0/23 AS9304 # was unassigned
2.27.216.0/23 AS402306 # was unassigned
2.27.218.0/23 AS14618 # was unassigned
2.27.220.0/22 AS14618 # was unassigned
2.27.224.0/21 AS215224 # was unassigned
2.27.232.0/24 AS203057 # was unassigned
2.27.233.0/24 AS213618 # was unassigned
2.27.234.0/24 AS202792 # was unassigned
2.27.235.0/24 AS402257 # was unassigned
2.27.236.0/24 AS834 # was unassigned
2.27.237.0/24 AS215691 # was unassigned
2.27.238.0/24 AS199524 # was unassigned
2.27.239.0/24 AS14618 # was unassigned
2.27.240.0/24 AS14618 # was unassigned
2.27.241.0/24 AS9304 # was unassigned
2.27.242.0/24 AS30058 # was unassigned
2.27.243.0/24 AS16276 # was unassigned
2.27.244.0/24 AS7488 # was unassigned
2.27.245.0/24 AS152460 # was unassigned
2.27.246.0/24 AS7488 # was unassigned
2.27.247.0/24 AS395470 # was unassigned
2.27.248.0/24 AS207043 # was unassigned
2.27.249.0/24 AS214432 # was unassigned
2.27.250.0/24 AS206033 # was unassigned
2.27.251.0/24 AS7488 # was unassigned
2.27.252.0/23 AS7488 # was unassigned
2.27.254.0/24 AS14618 # was unassigned
2.27.255.0/24 AS7488 # was unassigned
2.48.48.0/20 AS5384 # was AS8966
2.48.96.0/21 AS5384 # was AS8966
2.56.63.0/24 AS213637 # was AS43260
2.56.108.0/23 AS48678 # was AS205463
2.56.111.0/24 AS215242 # was AS216045
2.56.122.0/24 AS209847 # was AS214238
# 2.56.224.0/23 was AS21221
2.56.249.0/24 AS262287 # was AS61317
2.57.17.0/24 AS834 # was AS207610
2.58.84.0/24 AS216221 # was AS213791
2.58.85.0/24 AS399468 # was AS834
2.58.97.0/24 AS44559 # was AS42375
2.58.124.0/22 AS44128 # was AS44559
2.58.173.0/24 AS212238 # was AS61317
2.58.244.0/22 AS6233 # was AS41717
2.58.248.0/22 AS6233 # was AS41717
2.59.21.0/24 AS12989 # was AS174
2.59.22.0/24 AS12989 # was AS174
2.59.48.0/24 AS12722 # was AS212667
2.59.57.0/24 AS16509 # was AS14618
2.59.59.0/24 AS212384 # was AS212335
2.59.60.0/24 AS212238 # was AS61317
2.59.108.0/24 AS34471 # was AS203499
2.59.180.0/24 AS834 # was AS9304
2.59.192.0/24 AS32082 # was AS210415
2.59.195.0/24 AS32082 # was unassigned
# 2.89.43.0/24 was AS25019
# 2.89.44.0/22 was AS25019
# 2.89.51.0/24 was AS25019
# 2.89.52.0/24 was AS25019
2.189.56.0/24 AS202798 # was AS48159
3.2.0.0/24 AS16509 # was AS14618
3.2.2.0/23 AS16509 # was AS14618
3.2.16.0/20 AS16509 # was AS7224
3.2.36.0/24 AS16509 # was AS14618
3.2.51.0/24 AS16509 # was AS14618
3.2.52.0/24 AS16509 # was AS14618
3.2.58.0/24 AS16509 # was AS14618
3.2.66.0/24 AS16509 # was AS14618
3.2.68.0/22 AS16509 # was AS14618
3.2.73.0/24 AS16509 # was AS14618
3.2.75.0/24 AS16509 # was AS14618
3.2.76.0/24 AS16509 # was AS14618
3.2.78.0/24 AS16509 # was AS14618
3.2.80.0/22 AS16509 # was AS14618
3.2.85.0/24 AS16509 # was AS14618
3.2.86.0/23 AS16509 # was AS14618
3.2.88.0/23 AS16509 # was AS14618
3.2.93.0/24 AS16509 # was AS14618
